Nombre;FecInicio;FecFin;Ordenamiento;Estado
Período 2021 -2;23-08-2021;25-12-2021;35;Activo
PERIODO 2021 -1 V1;05-02-2021;28-02-2021;34;Activo
Período 2021 -1;03-03-2021;31-07-2021;33;Activo
Admisión 2021;01-01-2021;31-03-2021;32;Activo
Período 2020-2;29-08-2020;30-12-2020;31;Activo
Período 2020-0;14-02-2020;08-03-2020;30;Activo
Período 2020-1;16-03-2020;24-07-2020;29;Activo
Admisión 2020;02-12-2019;14-02-2020;28;Activo
Período 2019-2;15-08-2019;15-12-2019;27;Activo
Período 2019-1;02-01-2019;30-07-2019;26;Activo
Admisión 2019;15-02-2019;11-03-2019;25;Activo
Período 2018-2;03-08-2018;28-12-2018;24;Activo
Período 2018-1;15-03-2018;31-07-2018;23;Activo
Período 2017-2;07-08-2017;20-12-2017;22;Activo
Período 2017-1;15-03-2017;31-07-2017;21;Activo
Período 2016-2;07-08-2016;20-12-2016;20;Activo
Período 2016-1;15-03-2016;31-07-2016;19;Activo
Período 2015-2;07-08-2015;20-12-2015;18;Activo
Período 2015-1;15-03-2015;31-07-2015;17;Activo
Período 2014-2;07-08-2014;20-12-2014;16;Activo
Período 2014-1;15-03-2014;31-07-2014;15;Activo
Período 2013-2;07-08-2013;20-12-2013;14;Activo
Período 2013-1;15-03-2013;31-07-2013;13;Activo
Período 2012-2;07-08-2012;20-12-2012;12;Activo
Período 2012-1;15-03-2012;31-07-2012;11;Activo
Período 2011-2;07-08-2011;20-12-2011;10;Activo
Período 2011-1;15-03-2011;31-07-2011;9;Activo
Período 2010-2;07-08-2010;20-12-2010;8;Activo
Período 2010-1;15-03-2010;31-07-2010;7;Activo
Período 2009-2;07-08-2009;20-12-2009;6;Activo
Período 2009-1;15-03-2009;31-07-2009;5;Activo
Período 2008-2;07-08-2008;20-12-2008;4;Activo
Período 2008-1;15-03-2008;31-07-2008;3;Activo
Período 2007-2;07-08-2007;20-12-2007;2;Activo
Período 2007-1;15-03-2007;31-07-2007;1;Activo
;;;;
